name;kpgz_code;kpgz_name;okpd2_code;okpd2_name;ktru_code;ktru_name;stz;date_of_approval_of_the_tz;id_kpgz
Поставка продуктов питания;01.01.01.01.01;КРУПА ГРЕЧНЕВАЯ;10.61.32.113;Крупа гречневая;10.61.32.113-00000005;Крупа гречневая;Нет;2020-01-31 18:45;29744758
Поставка продуктов питания;01.01.01.01.02;КРУПА ПШЕНИЧНАЯ;10.61.31.110;Крупа из пшеницы;10.61.31.110-00000001;Крупа пшеничная;Нет;2020-01-31 18:45;29700598
Поставка продуктов питания;01.01.01.01.03;КРУПА КУКУРУЗНАЯ;10.61.32.117;Крупа кукурузная;10.61.32.117-00000004;Крупа кукурузная;Нет;2020-01-31 18:45;29740439
Поставка продуктов питания;01.01.01.01.04;КРУПА ОВСЯНАЯ;10.61.32.111;Крупа овсяная;10.61.32.111-00000003;Крупа овсяная;Нет;2020-01-31 18:45;29423950
Поставка продуктов питания;01.01.01.01.05;РИС;10.61.1;Рис полуобрушенный или полностью обрушенный, шелушеный или дробленый;10.61.10.000-00000004;Рис;Нет;2020-01-31 18:45;29555833
Поставка продуктов питания;01.01.01.01.06;КРУПА МАННАЯ;10.61.31.111;Крупа манная;10.61.31.111-00000001;Крупа манная;Нет;2020-01-31 18:45;29423956
Поставка продуктов питания;01.01.01.01.07;КРУПА ЯЧНЕВАЯ;10.61.32.115;Крупа ячневая;10.61.32.115-00000004;Крупа ячневая;Нет;2020-01-31 18:45;29740405
Поставка продуктов питания;01.01.01.01.08;КРУПА ПШЕНО;10.61.32.114;Пшено;10.61.32.114-00000005;Пшено;Нет;2020-01-31 18:45;29423964
Поставка продуктов питания;01.01.01.01.09;КРУПА ПЕРЛОВАЯ;10.61.32.116;Крупа перловая;10.61.32.116-00000006;Крупа перловая;Нет;2020-01-31 18:45;29740409
Поставка продуктов питания;01.01.01.01.10;ОВСЯНЫЕ ХЛОПЬЯ;10.61.33.111;Зерна овса плющеные или переработанные в хлопья;10.61.33.111-00000004;Хлопья овсяные;Нет;2020-01-31 18:45;29576956
