N;TD;Sex;Age;Add;Add1;St;Region
1;осн.;Мужской;26;SO;Среднее (полное) общее образование;7;Москва г
2;осн.;Мужской;32;VOM;Высшее образование;3;Калужская обл
3;осн.;Мужской;54;VON;Послевузовское образование;29;Москва г
4;осн.;Мужской;31;VOM;Высшее образование;7;Красноярский край
5;совм.;Мужской;34;SPO;Среднее профессиональное образование;;Нижегородская обл
6;осн.;Женский;28;SPO;Среднее профессиональное образование;8;Астраханская обл
7;осн.д.;Мужской;31;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;2;Москва г
8;осн.;Женский;32;VOM;Высшее образование;9;Московская обл
9;осн.;Мужской;24;VOB;Бакалавриат;1;Московская обл
10;осн.;Женский;34;VOB;Бакалавриат;11;Москва г
11;осн.;Женский;34;VOB;Бакалавриат;11;Москва г
12;осн.;Женский;26;VOM;Высшее образование;4;Московская обл
13;осн.;Женский;26;VOM;Высшее образование;4;Московская обл
14;осн.;Женский;37;VOM;Высшее образование;14;Московская обл
15;осн.;Женский;25;VOB;Бакалавриат;1;Пермский край
16;осн.;Мужской;48;VOM;Высшее образование;6;Московская обл
17;осн.;Мужской;32;NVO;Неполное высшее образование;2;Московская обл
18;осн.;Женский;49;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;22;Московская обл
19;совм.;Мужской;40;VOM;Высшее образование;18;Московская обл
20;совм.;Мужской;40;VOM;Высшее образование;18;Московская обл
21;осн.;Женский;40;VOM;Высшее образование;13;Московская обл
22;осн.;Женский;35;VOM;Высшее образование;11;Москва г
23;совм.;Мужской;26;VOB;Бакалавриат;2;Псковская обл
24;осн.;Мужской;29;VOM;Высшее образование;2;Москва г
25;осн.;Мужской;44;VOB;Бакалавриат;20;Московская обл
26;осн.;Мужской;44;VOB;Бакалавриат;20;Московская обл
27;совм.;Мужской;46;VOM;Высшее образование;;Московская обл
28;осн.;Женский;28;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;5;Москва г
29;осн.;Женский;28;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;5;Москва г
30;осн.;Мужской;27;NVO;Неполное высшее образование;6;Москва г
31;осн.;Мужской;38;VOM;Высшее образование;17;Московская обл
32;осн.;Мужской;44;VOM;Высшее образование;21;Москва г
33;осн.;Мужской;40;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;12;Москва г
34;осн.;Женский;42;VOB_DPO;Бакалавриат с дополнительным профессиональным обучением;18;Москва г
35;осн.;Женский;42;VOB_DPO;Бакалавриат с дополнительным профессиональным обучением;18;Москва г
36;осн.;Мужской;40;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;15;Московская обл
37;осн.;Мужской;32;NVO;Неполное высшее образование;14;Москва г
38;совм.;Женский;34;VOM;Высшее образование;9;Московская обл
39;осн.;Мужской;25;VOB;Бакалавриат;2;Москва г
40;осн.;Мужской;43;VOM;Высшее образование;16;Москва г
41;осн.;Мужской;43;VOM;Высшее образование;16;Москва г
42;осн.;Мужской;31;VOB_DPO;Бакалавриат с дополнительным профессиональным обучением;9;Москва г
43;осн.;Женский;49;VOM;Высшее образование;26;Москва г
44;осн.;Мужской;23;VOB;Бакалавриат;;Брянская обл
45;осн.;Мужской;39;VOM;Высшее образование;13;Ставропольский край
46;осн.;Мужской;36;VOM;Высшее образование;15;Москва г
47;осн.;Женский;48;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;18;Москва г
48;осн.;Мужской;46;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;24;Кабардино-Балкарская Респ
49;осн.;Женский;32;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;9;Липецкая обл
50;осн.;Женский;31;VOM;Высшее образование;11;Москва г
51;совм.;Мужской;37;VON;Послевузовское образование;14;Москва г
52;осн.;Мужской;40;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;15;Москва г
53;осн.;Мужской;40;VOM;Высшее образование;10;Москва г
54;осн.;Мужской;24;NVO;Неполное высшее образование;;Москва г
55;осн.;Мужской;40;VOM_DPO;Высшее образование с дополнительным профессиональным обучением;17;Москва г
56;осн.;Мужской;26;VOM;Высшее образование;3;Москва г
57;осн.;Мужской;23;NVO;Неполное высшее образование;;Ростовская обл
