name;CODE;final_kpgz;is_standard_product;IS_CHILD_kpgz;DELETED_DATE;kpgz_sum;kpgz223_sum;kpgz44_sum;con_count;con223_count;con44_count;customer_count;supplier_count;max_con_ID;max_con_sum;max_customer_con_count;max_customer_sum;max_customer_ID;formatted_name;max_supplier_sum
АППАРАТЫ СВАРОЧНЫЕ ДЛЯ РУЧНОЙ ДУГОВОЙ СВАРКИ;01.11.02.05.01.01;;11;;;18820.85;18820.85;0;1;1;0;1;1;4498657;18820.85;134;527648613.5;4692228;Государственное бюджетное учреждение города Москвы «Жилищник района Южное медведково»;99057.18
РЕЗЦЫ ТОКАРНЫЕ;01.11.02.09.09;;11;;;3441.56;3441.56;0;1;1;0;1;1;4824753;3441.56;2238;85801161702;4612763;"Ао ""Мосводоканал""";57166877.62
ШТАНГЕНГЛУБИНОМЕРЫ;01.11.02.03.20;;11;;;305426.67;305426.67;0;1;1;0;1;1;4838079;305426.67;362;1452300138;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;20050020.95
МОНТАЖ, УСТАНОВКА, СБОРКА ВЕНТИЛЯЦИОННОГО ОБОРУДОВАНИЯ;02.12.2007;;11;;;2337852853;87166422.02;2250686431;31;9;22;27;28;4509777;2195641970;822;43904895965;5065;"Государственное унитарное предприятие города Москвы ""Московский ордена ленина и ордена трудового красного знамени метрополитен имени В.И. Ленина""";2195641970
ЭКРАНЫ МЕЖСЕТЕВЫЕ АППАРАТНЫЕ;01.13.12.06.01.01;;11;;;474302903.2;26845826.73;447457076.5;16;7;9;9;12;4481110;395238996;159;24995224745;542;Департамент информационных технологий города Москвы (без подведов);7966500
PR-УСЛУГИ;03.15.10;;11;;;401817744.7;71970000;329847744.7;28;4;24;18;26;4801392;92900000;12;244758094.1;1510;Департамент города Москвы по конкурентной политике (без подведов);4465000
АРМ СТАЦИОНАРНЫЕ МОДУЛЬНЫЕ СПЕЦИАЛИЗИРОВАННЫЕ ПРОЧИЕ;01.13.01.01.02.03;;11;;;300734881.6;57719851.32;243015030.3;36;10;26;29;31;4866406;183031022.6;159;24995224745;542;Департамент информационных технологий города Москвы (без подведов);6804272738
СИСТЕМЫ ОХРАННОЙ, ПОЖАРНОЙ СИГНАЛИЗАЦИИ КОМПЛЕКТНЫЕ;01.03.01.00;;11;;;167003823.4;4884000;162119823.4;6;2;4;5;5;4427678;160432937.2;139;2504322813;4682623;Департамент по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности города Москвы (без подведов);175205420.2
АРМ СТАЦИОНАРНЫЕ МОДУЛЬНЫЕ ГРАФИЧЕСКИЕ;01.13.01.01.02.01;;11;;;99245820.91;22779452.37;76466368.54;11;2;9;11;10;4639284;44524967.68;67;241968209.6;3013;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технологический колледж № 21»;184474224.1
ШИРМА МЕДИЦИНСКАЯ;01.02.11.03.20;;11;;;51013414.95;;51013414.95;16;0;16;13;12;4844073;34200101.86;7279;53230134594;4692930;Государственное казенное учреждение города Москвы «Агентство по закупкам (контрактная служба) Департамента здравоохранения города Москвы»;4785629.81
ДИСКИ ТОЧИЛЬНЫЕ, ОТРЕЗНЫЕ, ШЛИФОВАЛЬНЫЕ;01.11.02.09.04;;11;;;113983359.2;68461373.24;45521985.91;401;201;200;179;202;4863016;11992270.62;451;3297908090;4612683;"Акционерное общество ""Мослифт""";47931987.75
ТЕЛЕЖКА МЕДИЦИНСКАЯ УНИВЕРСАЛЬНАЯ;01.02.11.03.17.01;;11;;;48216324;3834144.18;44382179.82;62;5;57;37;46;4668287;5200000;1356;4686924626;3322;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени С.С. Юдина Департамента здравоохранения города Москвы»;8118255
СТОЛ ДЛЯ ОСМОТРА/ТЕРАПЕВТИЧЕСКИХ ПРОЦЕДУР, С ПИТАНИЕМ ОТ СЕТИ;01.02.11.03.09.01;;11;;;28180241.37;404280;27775961.37;4;1;3;2;3;4420350;24750681.67;7279;53230134594;4692930;Государственное казенное учреждение города Москвы «Агентство по закупкам (контрактная служба) Департамента здравоохранения города Москвы»;107158251.2
РАКОВИНЫ;01.11.01.04.02;;11;;;26998341.43;567786.61;26430554.82;111;10;101;87;61;4925938;22079629.44;822;43904895965;5065;"Государственное унитарное предприятие города Москвы ""Московский ордена ленина и ордена трудового красного знамени метрополитен имени В.И. Ленина""";22079629.44
НАБОРЫ ИНСТРУМЕНТОВ;01.11.02.02.06;;11;;;64424850.31;41040234.81;23384615.5;283;104;179;163;154;4921318;6715192.45;2238;85801161702;4612763;"Ао ""Мосводоканал""";960411.46
УСТРОЙСТВА КОПИРОВАЛЬНО-МНОЖИТЕЛЬНЫЕ;01.13.11.01.01;;11;;;25039454.97;3168351.32;21871103.65;7;4;3;6;6;4600177;18426275.28;822;43904895965;5065;"Государственное унитарное предприятие города Москвы ""Московский ордена ленина и ордена трудового красного знамени метрополитен имени В.И. Ленина""";141606939.3
ОБОРУДОВАНИЕ КРОСС-КОММУТАЦИОННОЕ И РАСПРЕДЕЛИТЕЛЬНОЕ ДЛЯ СЕТЕЙ И ЛИНИЙ СВЯЗИ;01.13.08.04;;11;;;25786830.12;5430280.6;20356549.52;42;20;22;31;36;4886494;6886794.54;159;24995224745;542;Департамент информационных технологий города Москвы (без подведов);3317692741
УСТРОЙСТВА ХРАНЕНИЯ ДАННЫХ ДИСКОВЫЕ АВТОНОМНЫЕ (ВНЕШНИЕ ЖЕСТКИЕ ДИСКИ);01.13.05.01;;11;;;38641111.28;24552360.38;14088750.9;86;35;51;69;71;4452291;7407766.99;818;11857168563;8981996;"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""";
СМЕСИТЕЛИ ВОДОРАЗБОРНЫЕ;01.11.01.04.05.01;;11;;;14087747.82;213593.88;13874153.94;85;10;75;80;35;4899871;2747606.6;113;385030273.3;111;Государственное бюджетное учреждение города Москвы «Жилищник района Ломоносовский»;1694716.27
ФУРНИТУРА ДЛЯ САНТЕХНИЧЕСКОГО ОБОРУДОВАНИЯ;01.11.01.04.11;;11;;;36039623.94;22913481.3;13126142.64;307;117;190;193;119;4863016;2400000;76;1204167438;7728;Государственное бюджетное учреждение города Москвы «Жилищник района Хорошево-Мневники»;9682913.23
