NAME;CODE;isFinal_kpgz;status;IS_STANDARD_PRODUCT;DELETED_DATE;KPGZ_SUM;KPGZ223_SUM;KPGZ44_SUM;CON_COUNT;CON223_COUNT;CON44_COUNT;CUSTOMER_COUNT;SUPPLIER_COUNT;MAX_CON_ID;MAX_CON_SUM;MAX_CUSTOMER_CON_COUNT;MAX_CUSTOMER_SUM;MAX_CUSTOMER_ID;FORMATTED_NAME;MAX_SUPPLIER_SUM
КРУПА ГРЕЧНЕВАЯ;01.01.01.01.01;;1;1;;27357022,4;862364,15;26494658,25;90;25;65;55;45;4936575;4336063,9;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
КРУПА ПШЕНИЧНАЯ;01.01.01.01.02;;1;1;;1036378,32;103290,74;933087,58;29;10;19;13;23;4960179;166039,42;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
КРУПА КУКУРУЗНАЯ;01.01.01.01.03;;1;1;;977869,11;2843,5;975025,61;17;2;15;11;13;4960179;196095,1;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
КРУПА ОВСЯНАЯ;01.01.01.01.04;;1;1;;635772,33;424563,93;211208,4;13;9;4;8;11;4581900;288750;1999;1909870938;1073;Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»;547110,5
РИС;01.01.01.01.05;;1;1;;26278440,16;906352,65;25372087,51;82;23;59;49;40;4936575;5126503,66;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
КРУПА МАННАЯ;01.01.01.01.06;;1;1;;5740819,11;108753,82;5632065,29;72;18;54;47;35;4936575;1059203,34;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
КРУПА ЯЧНЕВАЯ;01.01.01.01.07;;1;1;;550294,47;13508,77;536785,7;13;1;12;6;10;4960179;221833,92;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
КРУПА ПШЕНО;01.01.01.01.08;;1;1;;7656205,9;266402,31;7389803,59;75;21;54;49;38;4936575;1572917,03;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
КРУПА ПЕРЛОВАЯ;01.01.01.01.09;;1;1;;2030350,14;76218,19;1954131,95;67;16;51;44;34;4936575;338816,75;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ОВСЯНЫЕ ХЛОПЬЯ;01.01.01.01.10;;1;1;;10991412,84;219559,19;10771853,65;64;10;54;44;33;4936575;1851008,23;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ГОРОХ ШЛИФОВАННЫЙ СУШЕННЫЙ;01.01.01.01.12;;1;1;;2648287,46;265009,54;2383277,92;69;23;46;42;34;4936575;371129,07;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
