;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
Белгородская область;1463;408;2941.4139;18.0118946474087;30.5936073059361;14.0709210473704;1123055.6704;1.91806398985793;21540.9264;3401
Брянская область;505;78;575.8882;10.9433962264151;20.4081632653061;9.68318151811205;328328.6391;1.13981119961338;3742.3266;1787
Владимирская область;4697;394;5031.5264;12.6482213438735;24.2053789731051;7.01556520482192;558053.5945;2.14146299168762;11950.5112;6437
Воронежская область;10089;974;10959.6182;15.9375;27.2522522522523;6.15194227977351;708756.6368;3.50584412333506;24847.9029;2935
Ивановская область;627;245;793.0982;16.1961367013373;22.8971962616822;2.85112440114221;189359.2927;0.740600094140508;1402.3951;1203
Калужская область;7233;633;6593.3137;12.1140142517815;25.7879656160458;0.98726532557127;2198677.3401;0.70365189643044;15471.0348;3453
Костромская область;57;15;86.1312;5.56521739130435;9.87654320987654;5.91081339540907;174951.9636;0.259226698956581;453.5222;1491
Курская область;2552;167;3782.2099;7.64411027568922;17.9916317991632;5.76045738706132;526180.0264;0.330356838493632;1738.2717;1790
Липецкая область;570;246;1066.7146;11.5068493150685;24.907063197026;6.20266238801362;876997.1199;4.88886393434095;42875.1959;2998
Московская область;86910;7996;138086.5672;10.8295429932857;24.4533947065593;8.84710150682723;4306104.4536;4.31848066631395;185958.2883;15638
Орловская область;738;153;730.1193;13.6678200692042;22.2689075630252;4.8329644044905;211447.0984;0.488587787591981;1033.1047;1337
Рязанская область;2421;166;1449.0968;10.9479305740988;21.0365853658537;5.22406932598227;409640.586;0.961780871976392;3939.8448;1747
Смоленская область;893;75;1651.3485;7.07482993197279;17.1875;3.37168394511009;372652.7428;1.05681838550525;3938.2627;2000
Тамбовская область;864;147;1096.1652;12.4624624624625;18.0672268907563;5.49025180653129;281318.9858;1.10747477321525;3115.5368;1882
Тверская область;3549;293;5227.3587;12.008281573499;24.7706422018349;7.13999406991154;454217.5075;1.46172073739364;6639.3915;3157
Тульская область;4338;204;7823.3502;20.1873048907388;36.0103626943005;13.5427263351525;969303.9352;2.74820476144086;26638.4569;4099
Ярославская область;5809;708;6635.0961;10.7246376811594;23.5795454545455;5.39040495437441;514415.8655;1.55632114733055;8005.9629;3235
г. Москва;212441;39380;427329.3374;13.0228974020255;32.6017557861133;3.56430701267084;17579949.9362;2.99999118435487;527396.9483;11022
Республика Карелия;1113;321;1062.0731;6.96324951644101;11.2299465240642;2.78816400138575;253231.9188;1.8751918488405;4748.5843;953
Республика Коми;1468;498;2097.7444;8.01832760595647;13.4615384615385;1.01980843549386;871249.0396;0.622478218454039;5423.3355;1404
Архангельская область;999;174;1574.6462;4.39461883408072;11.6504854368932;7.63387503989624;696920.6009;0.276929609701253;1929.9795;1284
Вологодская область;591;100;801.8042;12.1590909090909;19.3661971830986;1.94812130014417;847930.8603;0.287151867445719;2434.8493;2758
Калинингpадская область;1290;233;1894.2954;5.55555555555556;14.336917562724;0.954735215456804;714431.1417;0.166554553762672;1189.9176;1428
Ленинградская область;6011;475;8296.0485;7.88415124698311;15.9922928709056;0.954042072599185;1714693.8767;1.63127293332569;27971.3371;2714
Мурманская область;1988;450;2837.389;9.43396226415094;19.8952879581152;10.6402681550013;1060109.26;0.324355651793854;3438.5243;1535
Новгородская область;1334;38;1505.1028;11.4406779661017;24;1.92811317772419;237037.6414;1.04534574566519;2477.8629;1729
Псковская область;132;24;176.944;9.59409594095941;15.5778894472362;1.16889981989392;172606.5541;0.37804601534537;652.5322;1489
г. Санкт-Петербург;72485;9524;135526.6268;15.9156976744186;35.2813852813853;10.6197619025649;4218784.4964;3.03826091162934;128177.6803;9399
Республика Адыгея;273;64;209.3796;8.91089108910891;21.3333333333333;0.584591520104822;84928.6866;0.278000884568018;236.1025;246
Республика Калмыкия;163;50;146.5979;2.80701754385965;13.3333333333333;0.540271303336772;11823.3931;0.266006549338193;31.451;87
Республика Крым;2217;445;1583.4696;4.83135824977211;14.84375;0.724782988611831;236506.5167;3.28239716533781;7763.0832;113
Краснодарский край;6754;1373;7504.605;5.33980582524272;12.7806563039724;1.78423504290525;2159499.8626;2.53502870956839;54743.9415;5066
Астраханская область;668;180;664.9111;5.2790346907994;12.2340425531915;0.170491145357566;410116.4307;0.629990121485762;2583.693;811
Волгоградская область;3611;371;3903.9951;7.66550522648084;15.4545454545455;2.24671730761022;1022856.1654;0.502418079280025;5139.0143;2275
Ростовская область;11940;1385;14614.3204;13.8225255972696;33.6814621409922;8.48858634144735;1257449.2643;4.19205895590105;52713.0145;4240
г. Севастополь;1090;287;1179.1569;17.5572519083969;21.0526315789474;5.9407300645489;28799.1439;2.64327822605866;761.2415;517
Республика Дагестан;1491;679;1250.41;2.98930144745123;6.61322645290581;1.3492660881133;108808.8045;0.405835448729703;441.5847;620
Кабардино-Балкарская Республика;1113;383;792.294;7.45762711864407;19.5652173913043;0.983962269233718;56164.5418;0.577274895528481;324.2238;313
Карачаево-Черкесская Республика;631;147;550.0941;5.64784053156146;15.4761904761905;0.756929521920426;57894.4918;0.11127898008425;64.4244;100
Республика Северная Осетия - Алания;549;165;492.8223;2.87769784172662;6.97674418604651;1.30573389527077;45766.898;0.368063616634013;168.4513;170
Чеченская Республика ;364;111;361.4304;1.76470588235294;9.30232558139535;0.0385891699022027;62192.8382;0.194439590634408;120.9275;444
Ставропольский край;2509;1033;2227.7912;5.26735833998404;11.6666666666667;7.71301585804853;531120.2123;0.765300398265412;4064.6651;1347
Республика Башкортостан;7797;1826;10830.7944;25.0526315789474;33.5347432024169;7.92531570528392;1900717.5222;1.36347001052548;25915.7134;6355
Республика Марий Эл;136;42;178.7511;9.53545232273839;21.5384615384615;6.15320272870073;133804.34;0.845343955211019;1131.1069;954
Республика Мордовия;809;79;1088.5665;20.4283360790774;36.4077669902913;20.8587472067279;295012.2085;2.50384776872717;7386.6566;2674
Республика Татарстан;12885;1566;19215.014;24.869234427009;37.0748299319728;18.0660691859414;2927257.9561;5.04681441183358;147733.2764;7178
Удмуртская Республика;1839;248;1947.8482;12.5643666323378;20.1680672268908;10.3763379306338;614293.5622;0.871009535056462;5350.5555;6790
Чувашская Республика;1365;102;2010.1362;14.5917001338688;32.5670498084291;9.26520916988499;255626.1242;1.92685673869009;4925.5492;2462
Пермский край;9520;719;16902.374;10.807669959326;23.0899830220713;11.0434600824132;1726177.0856;2.1111668845571;36442.479;14462
Кировская область;1495;205;4267.7061;13.9120095124851;26.7515923566879;8.26584238970937;328682.3087;2.10354424834914;6913.9778;2758
Нижегородская область;41012;2229;85239.2396;14.0028971511347;28.0263157894737;14.5866262413208;1893240.1539;9.60268459474068;181801.8806;8249
Оренбургская область;828;217;929.4513;7.45341614906832;12.0481927710843;3.40846261849125;914565.5766;1.22148332342995;11171.266;1636
Пензенская область;5575;287;3729.1145;17.5332527206771;25.9938837920489;8.68897800709807;352482.2974;3.12629243547367;11019.6274;1929
Самарская область;8873;563;16723.7592;14.8597739640017;25.8269720101781;9.23433396847653;1701944.4449;3.84154986350577;65381.0445;7425
Саратовская область;5042;885;6809.4425;7.13375796178344;18.0914512922465;1.25840641992145;772174.7558;0.404453380085493;3123.0869;5499
Ульяновская область;4753;257;11049.7634;15.1270207852194;28.6689419795222;13.138342030268;358519.6343;2.25018301040926;8067.3479;1729
Курганская область;679;186;356.0204;14.1242937853107;24.390243902439;3.18755522423819;165361.1539;1.01209163127399;1673.6064;1238
Свердловская область;20849;2605;29366.4971;11.1837577426015;25;6.48471243121199;2860346.2955;1.59826984137977;45716.0522;15026
Тюменская область;7223;642;19987.0622;8.52311161217587;15.7193605683837;2.75245493353971;8423727.9301;0.600429612870932;50578.557;8869
Ямало-Ненецкий автономный округ;135;22;224.825;5.94732370433305;8.99653979238754;0.547532739444925;3042207.1595;0.0466640838565813;1419.6181;4288
Челябинская область;15735;1079;24799.3311;11.3958560523446;26.6875981161695;4.40693567268142;1772390.9424;1.24173220329136;22008.3491;5379
Республика Алтай   ;102;31;88.2994;3.8135593220339;12.962962962963;3.87493838235518;14384.2726;2.29814123517097;330.5709;271
Республика Тыва;378;76;360.5364;9.09090909090909;12.3287671232877;0.111785690628997;37328.5702;2.30202361193036;859.3125;122
Республика Хакасия;105;58;111.5741;3.79746835443038;11.7647058823529;0.0977173251903152;260966.1076;0.0408856157534228;106.6976;679
Алтайский край;2698;750;2025.2899;19.453125;26.3157894736842;2.6479038640682;432709.2443;2.0537085160674;8886.5866;2847
Красноярский край;8334;904;26588.1283;6.71905697445972;14.8580968280467;4.5627900183436;2966893.0009;1.81489221497594;53845.9101;3932
Иркутская область;4074;1238;6126.1926;7.09309689677011;18.3294663573086;0.687796881351477;2467748.046;1.75380473991874;43279.4822;2583
Кемеровская область;1188;470;1768.1772;6.30461922596754;14.1327623126338;2.30029804516463;1651882.528;2.0570149646864;33979.4708;3896
Новосибирская область;21346;4888;27544.4187;7.97491039426523;17.8132678132678;3.54912018517018;802580.5443;1.40934069238688;11311.0942;3365
Омская область;4217;312;5725.8842;10.5102817974105;25.1295336787565;12.620948212929;1049097.8488;1.38308572614051;14509.9226;3326
Томская область;9862;1775;16122.2069;24.5593419506463;30.718954248366;2.87276513704694;644894.2923;2.11243924200568;13623.0001;1713
Республика Бурятия;1063;490;917.5786;5.82329317269076;16.1538461538462;1.79656408151069;210268.3583;3.61356823320002;7598.1906;582
Республика Саха (Якутия);2140;706;3076.2479;8.6082059533387;15.6862745098039;0.836810441987987;1122352.6415;0.583089365856854;6544.3189;811
Забайкальский край;436;74;529.6515;4.07830342577488;11.2676056338028;0.172453398633245;304468.9778;0.167422081449245;509.7483;1368
Камчатский край;866;183;1569.5603;12.7659574468085;20.6521739130435;2.49884265317513;119738.3075;1.04878599524217;1255.7986;492
Приморский край;5809;1472;8506.1672;7.14285714285714;20.4778156996587;2.23588392168601;606634.0282;0.67699855416716;4106.9036;1396
Хабаровский край;1717;630;2088.2933;5.88235294117647;18;18.165913621145;603856.1241;7.66712149669826;46298.3827;2175
Амурская область;512;133;677.694;6.6577896138482;11.6564417177914;0.758097128966013;319250.8463;0.368146557361217;1175.311;800
Магаданская область;522;170;814.6823;9.42760942760943;17.6470588235294;0.283267395288068;280715.6818;0.162228770790389;455.4016;375
Сахалинская область;685;102;1062.1424;4.80905233380481;8.5;0.740870816690056;1180683.434;4.2703802770557;50419.6725;488
